,params,mean_test_r2,mean_test_neg_root_mean_squared_error
0,{'gamma': 0.02},0.3439144875754526,-51.62413479830318
1,{'gamma': 0.03},0.3574335693995485,-51.089082876035015
2,{'gamma': 0.04},0.36861748036454783,-50.6418967943318
3,{'gamma': 0.05},0.37572567060639017,-50.35605905502358
4,{'gamma': 0.06},0.38068607982921765,-50.15517358519204
