,params,mean_test_r2,mean_test_neg_root_mean_squared_error
0,{'gamma': 0.02},0.5060080144262836,-44.79314509958128
1,{'gamma': 0.03},0.5074569178956517,-44.727586842724996
2,{'gamma': 0.04},0.5066424688343837,-44.763354894426634
3,{'gamma': 0.05},0.5042764467281177,-44.870059170583815
4,{'gamma': 0.06},0.50241070157103,-44.95310701292992
